properties{
  x = 0,
  y = 0,
  width = 512,
  height = 288,
  min_layer = 0,
  max_layer = 2,
  tileset = "OverworldLight",
}

tile{
  layer = 0,
  x = 0,
  y = 256,
  width = 512,
  height = 32,
  pattern = "259",
}

tile{
  layer = 0,
  x = 0,
  y = 240,
  width = 512,
  height = 16,
  pattern = "258",
}

tile{
  layer = 0,
  x = 496,
  y = 240,
  width = 16,
  height = 16,
  pattern = "102",
}

tile{
  layer = 0,
  x = 464,
  y = 256,
  width = 16,
  height = 16,
  pattern = "102",
}

tile{
  layer = 0,
  x = 448,
  y = 256,
  width = 16,
  height = 16,
  pattern = "101",
}

tile{
  layer = 0,
  x = 432,
  y = 256,
  width = 16,
  height = 16,
  pattern = "100",
}

tile{
  layer = 0,
  x = 448,
  y = 240,
  width = 16,
  height = 16,
  pattern = "114",
}

tile{
  layer = 0,
  x = 464,
  y = 240,
  width = 16,
  height = 16,
  pattern = "112",
}

tile{
  layer = 0,
  x = 432,
  y = 240,
  width = 16,
  height = 16,
  pattern = "105",
}

tile{
  layer = 0,
  x = 464,
  y = 224,
  width = 16,
  height = 16,
  pattern = "286",
}

tile{
  layer = 0,
  x = 480,
  y = 224,
  width = 16,
  height = 16,
  pattern = "114",
}

tile{
  layer = 0,
  x = 496,
  y = 224,
  width = 16,
  height = 16,
  pattern = "112",
}

tile{
  layer = 0,
  x = 480,
  y = 240,
  width = 16,
  height = 16,
  pattern = "116",
}

tile{
  layer = 0,
  x = 432,
  y = 192,
  width = 16,
  height = 48,
  pattern = "106",
}

tile{
  layer = 0,
  x = 400,
  y = 208,
  width = 16,
  height = 16,
  pattern = "193",
}

tile{
  layer = 0,
  x = 416,
  y = 208,
  width = 16,
  height = 16,
  pattern = "194",
}

tile{
  layer = 0,
  x = 400,
  y = 224,
  width = 16,
  height = 16,
  pattern = "193",
}

tile{
  layer = 0,
  x = 416,
  y = 224,
  width = 16,
  height = 16,
  pattern = "194",
}

tile{
  layer = 0,
  x = 240,
  y = 192,
  width = 32,
  height = 32,
  pattern = "29",
}

tile{
  layer = 0,
  x = 240,
  y = 160,
  width = 32,
  height = 32,
  pattern = "29",
}

tile{
  layer = 0,
  x = 176,
  y = 144,
  width = 240,
  height = 16,
  pattern = "101",
}

tile{
  layer = 0,
  x = 288,
  y = 144,
  width = 16,
  height = 16,
  pattern = "55",
}

tile{
  layer = 0,
  x = 432,
  y = 176,
  width = 16,
  height = 16,
  pattern = "289",
}

tile{
  layer = 0,
  x = 416,
  y = 176,
  width = 16,
  height = 16,
  pattern = "105",
}

tile{
  layer = 0,
  x = 416,
  y = 192,
  width = 16,
  height = 16,
  pattern = "100",
}

tile{
  layer = 0,
  x = 416,
  y = 144,
  width = 16,
  height = 32,
  pattern = "106",
}

tile{
  layer = 0,
  x = 416,
  y = 128,
  width = 16,
  height = 16,
  pattern = "289",
}

tile{
  layer = 0,
  x = 320,
  y = 128,
  width = 96,
  height = 16,
  pattern = "114",
}

tile{
  layer = 0,
  x = 304,
  y = 128,
  width = 16,
  height = 16,
  pattern = "318",
}

tile{
  layer = 0,
  x = 272,
  y = 128,
  width = 16,
  height = 16,
  pattern = "317",
}

tile{
  layer = 0,
  x = 224,
  y = 128,
  width = 48,
  height = 16,
  pattern = "114",
}

tile{
  layer = 0,
  x = 288,
  y = 128,
  width = 16,
  height = 16,
  pattern = "55",
}

tile{
  layer = 0,
  x = 272,
  y = 160,
  width = 16,
  height = 80,
  pattern = "193",
}

tile{
  layer = 0,
  x = 128,
  y = 160,
  width = 16,
  height = 80,
  pattern = "193",
}

tile{
  layer = 0,
  x = 96,
  y = 160,
  width = 16,
  height = 80,
  pattern = "193",
}

tile{
  layer = 0,
  x = 304,
  y = 160,
  width = 16,
  height = 80,
  pattern = "193",
}

tile{
  layer = 0,
  x = 336,
  y = 160,
  width = 16,
  height = 80,
  pattern = "193",
}

tile{
  layer = 0,
  x = 368,
  y = 160,
  width = 16,
  height = 80,
  pattern = "193",
}

tile{
  layer = 0,
  x = 400,
  y = 160,
  width = 16,
  height = 80,
  pattern = "193",
}

tile{
  layer = 0,
  x = 144,
  y = 160,
  width = 16,
  height = 80,
  pattern = "194",
}

tile{
  layer = 0,
  x = 112,
  y = 160,
  width = 16,
  height = 80,
  pattern = "194",
}

tile{
  layer = 0,
  x = 288,
  y = 160,
  width = 16,
  height = 80,
  pattern = "194",
}

tile{
  layer = 0,
  x = 320,
  y = 160,
  width = 16,
  height = 80,
  pattern = "194",
}

tile{
  layer = 0,
  x = 352,
  y = 160,
  width = 16,
  height = 80,
  pattern = "194",
}

tile{
  layer = 0,
  x = 384,
  y = 160,
  width = 16,
  height = 80,
  pattern = "194",
}

tile{
  layer = 0,
  x = 192,
  y = 48,
  width = 304,
  height = 80,
  pattern = "192",
}

tile{
  layer = 0,
  x = 432,
  y = 128,
  width = 64,
  height = 48,
  pattern = "192",
}

tile{
  layer = 0,
  x = 448,
  y = 176,
  width = 16,
  height = 64,
  pattern = "192",
}

tile{
  layer = 0,
  x = 464,
  y = 176,
  width = 32,
  height = 48,
  pattern = "192",
}

tile{
  layer = 0,
  x = 496,
  y = 32,
  width = 16,
  height = 192,
  pattern = "301",
}

tile{
  layer = 0,
  x = 192,
  y = 48,
  width = 16,
  height = 80,
  pattern = "87",
}

tile{
  layer = 0,
  x = 208,
  y = 48,
  width = 288,
  height = 16,
  pattern = "87",
}

tile{
  layer = 0,
  x = 464,
  y = 176,
  width = 32,
  height = 32,
  pattern = "23",
}

tile{
  layer = 0,
  x = 256,
  y = 224,
  width = 16,
  height = 16,
  pattern = "194",
}

tile{
  layer = 0,
  x = 240,
  y = 224,
  width = 16,
  height = 16,
  pattern = "193",
}

tile{
  layer = 0,
  x = 384,
  y = 176,
  width = 32,
  height = 32,
  pattern = "29",
}

separator{
  layer = 0,
  x = 248,
  y = 0,
  width = 16,
  height = 288,
}

separator{
  layer = 0,
  x = 0,
  y = 136,
  width = 512,
  height = 16,
}

destination{
  name = "destination",
  layer = 0,
  x = 416,
  y = 229,
  direction = 1,
}

